Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT_x,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label_x,max deg DTDT_y,Label_y
"('TAMOXIFEN', 'VAMP2')",0.3682393559493671,0.06006813030679802,0.381555818362442,0.04108714773263334,0.023774713383295957,0.007396689134620563,0.0,0.4952380952380953,0.04615384615384616,0.6579330422125182,0.7654690618762475,0.6024915062287656,0.0,0.9480542333426192,0.7126756209948456,0.04215462512783956,0.0071439811279846105,0,0.0,1
"('NICOTINE', 'RHEB')",0.17611447493670884,0.028728236291142486,0.16277407748758213,0.02087920088252586,0.14649735985779128,0.03727004266615404,0.0,0.5333333333333333,0.030769230769230767,0.6710334788937409,0.7744510978043913,0.6149490373725934,0.0,0.9412587392713768,0.7139984535682015,0.0095858638398224,0.0,0,0.0,1
"('NICOTINE', 'BMPR2')",0.0,0.0,0.05340261009453614,0.007895477925599678,0.13365797625889486,0.034003605965311864,0.0,0.5333333333333333,0.030769230769230767,0.0,0.7704590818363274,0.6149490373725934,0.0,0.9412587392713768,0.7097170961995175,0.0095858638398224,0.0,0,0.0,1
"('NICOTINE', 'VAMP2')",0.0,0.0,0.3402447084762057,0.04806359931564305,0.16361653729568418,0.04162529160061027,0.0,0.5333333333333333,0.04615384615384616,0.0,0.7774451097804391,0.6160815402038505,0.0,0.9412587392713768,0.7126756209948456,0.0095858638398224,0.0071439811279846105,0,0.0,1
"('NICOTINE', 'EPHB3')",0.4661442632911392,0.07603862514084067,0.3871326190033648,0.05158498957935055,0.2320932470472558,0.05904628733843521,0.0,0.5333333333333333,0.030769230769230767,0.6506550218340611,0.7604790419161677,0.6149490373725934,0.0,0.9412587392713768,0.7085188029818452,0.0095858638398224,0.0,0,0.0,1
"('NICOTINE', 'EPHB2')",0.12119750886075947,0.019770042602693518,0.10065448075628906,0.017567611987930547,0.18929530345252354,0.04815816500229462,0.0,0.5333333333333333,0.04615384615384616,0.6521106259097526,0.7714570858283433,0.6160815402038505,0.0,0.9412587392713768,0.7142194031676911,0.0095858638398224,0.0,0,0.0,1
"('NICOTINE', 'PTPRM')",0.3778575473417721,0.061637073888032586,0.3529425525396572,0.04771116829400167,0.2492124234441952,0.06875877803938331,0.0,0.5333333333333333,0.04615384615384616,0.6710334788937409,0.7744510978043913,0.7610419026047565,0.0,0.9412587392713768,0.7980636234373837,0.0095858638398224,0.0,0,0.0,1
"('NICOTINE', 'COQ8B')",0.0,0.0,0.10680521916359556,0.015790955851199356,0.0,0.0,0.0,0.5333333333333333,0.030769230769230767,0.0,0.7704590818363274,0.0,0.0,0.9412587392713768,0.6743608476911335,0.0095858638398224,0.0,0,0.0,1
"('ISOPROTERENOL', 'RHEB')",0.18892877367088606,0.030818536944016293,0.1840054780964589,0.02448419567182051,0.2510281003081345,0.06356193595276187,0.0,0.5650793650793651,0.030769230769230767,0.6855895196506551,0.7844311377245509,0.6262740656851642,0.0,0.8947980718645243,0.7139984535682015,0.0005319786923326171,0.0,0,0.0,1
"('ISOPROTERENOL', 'BMPR2')",0.0,0.0,0.055816396603108484,0.007235734651708795,0.2290273902571097,0.05799121388862096,0.0,0.5650793650793651,0.030769230769230767,0.0,0.780439121756487,0.6262740656851642,0.0,0.8947980718645243,0.7097170961995175,0.0005319786923326171,0.0,0,0.0,1
